Spread,TrainR-Squared,TrainMSE,TestR-Squared,TestMSE
0.200000,0.277540,0.000007,0.842573,0.000004
0.400000,0.105356,0.000007,0.365976,0.000003
0.600000,0.034730,0.000008,0.134561,0.000002
0.800000,0.011942,0.000009,0.060385,0.000002
