Spread,TrainR-Squared,TrainMSE,TestR-Squared,TestMSE
0.200000,0.302497,0.000007,1.288763,0.000004
0.400000,0.171527,0.000007,0.793147,0.000004
0.600000,0.053906,0.000008,0.251028,0.000003
0.800000,0.018304,0.000009,0.089647,0.000003
