,Max Bid,Ad Delivery Status,Billing Event,Optimization Goal,Automatically Set Bid,Bid Type,Budget Pacing,Age Range,Gender,Duration,Frequency Cap,Duration Days,conversion
234,-1.0,2,1,1,1,1,1,3,3,0.0153514250028,-1.0,4,0.000843604041069
235,-1.0,2,1,1,1,1,1,9,3,0.0516634495288,-1.0,4,0.000204126966973
236,-1.0,2,1,1,1,1,1,10,3,0.0189621891677,-1.0,4,4.61151803488e-05
237,-1.0,2,1,1,1,1,1,10,3,0.0189621891677,-1.0,4,6.71045236837e-05
243,0.000750750750751,2,1,1,2,1,2,10,3,0.952583172476,-1.0,4,0.00431654676259
249,0.0015015015015,1,1,1,2,1,2,10,3,0.471783808334,-1.0,4,0.00160901045857
251,-1.0,2,1,1,1,1,2,10,3,0.160576813898,-1.0,4,8.00768737988e-05
253,0.004004004004,1,1,1,2,1,2,10,3,0.730532530941,-1.0,4,1.45022115873e-05
255,0.004004004004,1,1,1,2,1,2,10,3,0.73055524015,-1.0,4,0.00042744176106
256,0.004004004004,1,1,1,2,1,2,10,3,0.73055524015,-1.0,4,0.000280072818933
259,0.00275275275275,1,1,1,2,1,1,3,3,-1.0,-1.0,4,0.00104058272633
261,0.000750750750751,2,1,1,2,1,2,10,3,0.62550244124,-1.0,4,0.0010649627263
262,0.000750750750751,2,1,1,2,1,2,10,3,0.62550244124,-1.0,4,0.000827557670425
265,0.0015015015015,1,1,1,2,1,1,3,3,-1.0,-1.0,4,0.00155763239875
266,0.0015015015015,1,1,1,2,1,1,3,3,-1.0,-1.0,4,0.000751032669921
267,0.0015015015015,1,1,1,2,1,1,3,3,-1.0,-1.0,4,0.00118530225207
269,0.000750750750751,2,1,1,2,1,2,10,3,0.625457022823,-1.0,4,0.000469704086426
272,-1.0,2,1,1,1,1,2,10,3,0.365527421369,-1.0,4,0.000383549968038
273,0.001001001001,2,1,1,1,1,2,10,3,0.365527421369,-1.0,4,0.000576645843345
277,0.001001001001,2,1,1,1,1,2,10,3,0.463245145907,-1.0,4,0.00132802124834
278,0.001001001001,2,1,1,1,1,2,10,3,0.463245145907,-1.0,4,0.000598086124402
280,-1.0,2,1,1,1,1,2,10,3,0.463245145907,-1.0,4,0.000466681403974
297,-1.0,1,1,1,1,1,1,2,3,-1.0,-1.0,4,2.70969664946e-05
299,1.0,2,1,1,2,1,1,10,3,0.143340524583,-1.0,4,0.000175557412626
300,0.74974974975,2,1,1,2,1,1,10,3,0.143385943,-1.0,4,0.000195866060259
