,Ad Delivery Status,Automatically Set Bid,Bid Type,Budget Pacing,Max Bid,Duration,conversion
0,0.504792332268,0.635782747604,1.0,0.635782747604,0.0445445445445,0.0,0.000785083415113
4,0.495207667732,0.635782747604,1.0,0.635782747604,0.374374374374,0.725036902464,0.000443186309935
5,0.495207667732,0.635782747604,1.0,0.635782747604,0.374374374374,0.725036902464,0.000417362270451
6,0.495207667732,0.635782747604,1.0,0.635782747604,0.374374374374,0.725036902464,0.000563854817826
11,0.504792332268,0.635782747604,1.0,0.635782747604,0.0740740740741,0.136573180425,0.000151466604527
13,0.504792332268,0.635782747604,1.0,0.635782747604,0.0740740740741,0.136505052799,0.000166112956811
14,0.504792332268,0.635782747604,1.0,0.635782747604,0.0740740740741,0.136527762007,0.000160322977926
17,0.504792332268,0.635782747604,1.0,0.635782747604,0.0447947947948,0.0109912569547,0.000265596411497
27,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.0388327466788,0.000765365064695
31,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.00197570114682,0.000298900047824
34,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.00197570114682,0.000417014178482
40,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.00197570114682,0.000490367775832
41,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.00197570114682,0.000334858801205
44,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.00197570114682,0.000149566257852
46,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.00197570114682,0.000581564408258
47,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.00197570114682,0.0002171635187
50,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.133643692517,8.73981895129e-05
51,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.0625411604406,0.000111169121982
52,0.504792332268,0.635782747604,1.0,0.635782747604,0.0447947947948,0.0175996366527,0.000286377629816
53,0.504792332268,0.635782747604,1.0,0.635782747604,0.0442942942943,0.00903826501646,9.69777574586e-05
54,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.10169183604,0.000336050911713
55,0.504792332268,0.635782747604,1.0,0.635782747604,0.0648148148148,0.0623594867719,0.000856856610539
56,0.504792332268,0.635782747604,1.0,0.635782747604,0.136636636637,0.0015669353923,0.000165623240253
57,0.504792332268,0.635782747604,1.0,0.635782747604,0.136636636637,0.0997388441013,0.00010973271421
59,0.504792332268,0.364217252396,1.0,0.635782747604,-1.0,0.0189621891677,0.000306138068269
88,0.495207667732,0.635782747604,1.0,0.364217252396,0.174174174174,-1.0,0.000905387052965
89,0.495207667732,0.635782747604,1.0,0.364217252396,0.174174174174,-1.0,1.23968735085e-05
91,0.495207667732,0.635782747604,1.0,0.635782747604,0.0990990990991,-1.0,0.00165243734508
92,0.495207667732,0.635782747604,1.0,0.635782747604,0.0990990990991,-1.0,6.48760866745e-06
131,0.504792332268,0.635782747604,1.0,0.635782747604,0.149149149149,1.0,0.00120963989951
133,0.504792332268,0.635782747604,1.0,0.635782747604,0.149149149149,1.0,0.00349497597204
134,0.504792332268,0.635782747604,1.0,0.635782747604,0.149149149149,1.0,0.00109425573332
142,0.495207667732,0.635782747604,1.0,0.635782747604,0.0990990990991,-1.0,0.000120435287539
166,0.504792332268,0.635782747604,1.0,0.635782747604,0.0447947947948,0.0407630294084,7.97957229492e-05
172,0.495207667732,0.635782747604,1.0,0.364217252396,0.0740740740741,0.203429090496,0.000292412749196
176,0.495207667732,0.635782747604,1.0,0.364217252396,0.0740740740741,0.203429090496,0.000214408233276
178,0.495207667732,0.635782747604,1.0,0.364217252396,0.249249249249,0.203383672079,0.000160913991472
180,0.504792332268,0.635782747604,1.0,0.635782747604,0.0740740740741,0.105007380493,0.000310093544886
182,0.504792332268,0.635782747604,1.0,0.635782747604,0.0740740740741,0.341183149767,0.000149893371306
184,0.504792332268,0.635782747604,1.0,0.635782747604,0.0740740740741,0.201385261724,0.000201417849584
185,0.504792332268,0.635782747604,1.0,0.635782747604,0.0740740740741,0.105030089701,0.000101072815744
186,0.504792332268,0.635782747604,1.0,0.635782747604,0.0740740740741,0.303008970137,6.60066006601e-05
