,Ad Delivery Status,Automatically Set Bid,Bid Type,Budget Pacing,Max Bid,Duration,Countries,conversion
233,1.0,0.364217252396,1.0,1.0,-1.0,0.0189621891677,0.121405750799,0.000388857466063
234,1.0,0.364217252396,1.0,1.0,-1.0,0.0153514250028,0.121405750799,0.000843604041069
237,1.0,0.364217252396,1.0,1.0,-1.0,0.0189621891677,0.121405750799,6.71045236837e-05
243,1.0,1.0,1.0,0.364217252396,0.000750750750751,0.952583172476,0.654952076677,0.00431654676259
244,1.0,1.0,1.0,0.364217252396,0.000750750750751,0.952583172476,0.654952076677,0.00127226463104
252,0.495207667732,1.0,1.0,0.364217252396,0.004004004004,0.730532530941,0.654952076677,0.000187118745556
253,0.495207667732,1.0,1.0,0.364217252396,0.004004004004,0.730532530941,0.654952076677,1.45022115873e-05
255,0.495207667732,1.0,1.0,0.364217252396,0.004004004004,0.73055524015,0.654952076677,0.00042744176106
256,0.495207667732,1.0,1.0,0.364217252396,0.004004004004,0.73055524015,0.654952076677,0.000280072818933
260,0.495207667732,1.0,1.0,1.0,0.00275275275275,-1.0,0.654952076677,0.00119280906535
261,1.0,1.0,1.0,0.364217252396,0.000750750750751,0.62550244124,0.654952076677,0.0010649627263
265,0.495207667732,1.0,1.0,1.0,0.0015015015015,-1.0,0.654952076677,0.00155763239875
267,0.495207667732,1.0,1.0,1.0,0.0015015015015,-1.0,0.654952076677,0.00118530225207
269,1.0,1.0,1.0,0.364217252396,0.000750750750751,0.625457022823,0.654952076677,0.000469704086426
270,1.0,1.0,1.0,0.364217252396,0.002002002002,0.491813330305,0.654952076677,0.000650387950707
272,1.0,0.364217252396,1.0,0.364217252396,-1.0,0.365527421369,0.654952076677,0.000383549968038
273,1.0,0.364217252396,1.0,0.364217252396,0.001001001001,0.365527421369,0.654952076677,0.000576645843345
278,1.0,0.364217252396,1.0,0.364217252396,0.001001001001,0.463245145907,0.654952076677,0.000598086124402
279,1.0,0.364217252396,1.0,0.364217252396,0.001001001001,0.463245145907,0.654952076677,0.000580687193723
297,0.495207667732,0.364217252396,1.0,1.0,-1.0,-1.0,0.178913738019,2.70969664946e-05
310,1.0,1.0,1.0,1.0,0.0740740740741,0.201362552515,0.466453674121,0.00023321604932
311,1.0,1.0,1.0,1.0,0.0740740740741,0.201339843306,0.466453674121,0.000150519669158
